epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,0.00793655,0.00910518,6.238943,6.156592
2,0.010702855,0.011462001,6.0596147,5.9618397
3,0.012571698,0.012923138,5.913859,5.85539
4,0.013681014,0.013375806,5.8415594,5.8112426
5,0.014610736,0.01446099,5.8038635,5.78244
6,0.015787875,0.015628984,5.7779675,5.7625546
7,0.017195415,0.016721282,5.7568507,5.7412534
8,0.018337246,0.017700285,5.739387,5.7251787
9,0.01942446,0.018963791,5.724549,5.7102904
10,0.021078655,0.02096803,5.710318,5.6960816
11,0.022806516,0.022557193,5.697657,5.682482
12,0.024447247,0.02419005,5.685757,5.671588
13,0.026080739,0.026066767,5.6748395,5.658297
14,0.027759572,0.027322654,5.663741,5.6488037
15,0.02943828,0.028988533,5.6528587,5.6352844
16,0.030876301,0.03046288,5.6424594,5.622378
17,0.0323636,0.031979393,5.631935,5.61041
18,0.033894215,0.03361174,5.62135,5.597668
19,0.03523342,0.034450524,5.6109347,5.5887427
20,0.036496677,0.035747055,5.601231,5.5771995
21,0.0377866,0.0372529,5.591463,5.565713
22,0.03911552,0.03824003,5.581676,5.553156
23,0.04031641,0.039295748,5.57217,5.541305
24,0.04158716,0.040569417,5.5623884,5.5289855
