epoch,train_accuracy,test_accuracy,train_loss,test_loss
1,0.007533671,0.0086880755,6.231316,6.1280017
2,0.00937546,0.009921101,6.036956,5.9367304
3,0.010443752,0.010696377,5.896014,5.845197
4,0.011340705,0.011508233,5.8333488,5.804444
5,0.012139352,0.012107726,5.7997866,5.778757
6,0.01268931,0.012517718,5.775758,5.75778
7,0.013271148,0.013936687,5.7564816,5.7408595
8,0.014634233,0.014822718,5.7396135,5.727222
9,0.015330382,0.015792575,5.7263722,5.7142277
10,0.016184278,0.016795456,5.714917,5.70202
11,0.01726146,0.018276406,5.7042103,5.6913185
12,0.018490167,0.019709093,5.693914,5.680128
13,0.019744022,0.021029502,5.6842747,5.670542
14,0.02123018,0.022536363,5.6743255,5.6621027
15,0.02274809,0.024117399,5.6646404,5.6509356
16,0.023788948,0.024916045,5.6562667,5.643115
17,0.024589626,0.025503345,5.6487026,5.636983
18,0.025359696,0.026444752,5.641674,5.628731
19,0.026179045,0.02707422,5.6342263,5.6211133
20,0.027038023,0.028390564,5.6266675,5.6109543
